,index,AT_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,AT_windspeed_10m,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal
6958,94663,10046.0,8603.0,63.0,41.0,1465.0,3.18,2.264,2.867,36.7612
6959,94664,9991.0,8626.0,65.0,104.0,1404.0,3.29,3.597,23.7793,109.6405
6960,94665,9986.0,8672.0,61.0,176.0,1449.0,3.66,5.255,110.211,160.0364
6961,94666,9975.0,8721.0,60.0,242.0,1392.0,4.24,6.751,265.3274,145.3457
6962,94667,9630.0,8492.0,57.0,305.0,1381.0,4.42,7.781,326.9355,140.7181
6963,94668,9605.0,8411.0,56.0,321.0,1338.0,4.44,8.381,328.5535,140.2744
6964,94669,9491.0,8318.0,55.0,282.0,1186.0,4.4,8.64,295.1399,132.1628
6965,94670,9408.0,8265.0,52.0,214.0,1054.0,4.24,8.506,215.5131,121.7015
6966,94671,9470.0,8206.0,52.0,133.0,783.0,3.83,7.899,108.4541,102.7047
6967,94672,9685.0,8297.0,53.0,61.0,532.0,2.65,6.417,23.7588,54.56
6968,94673,10004.0,8563.0,58.0,19.0,540.0,2.42,3.992,0.4227,2.6896
6969,94674,9395.0,8317.0,63.0,1.0,518.0,2.48,3.214,0.0,0.0
6970,94675,8695.0,7733.0,53.0,0.0,556.0,2.39,2.671,0.0,0.0
6971,94676,7984.0,7106.0,44.0,0.0,528.0,2.3,2.211,0.0,0.0
6972,94677,7730.0,6812.0,39.0,0.0,746.0,2.35,1.918,0.0,0.0
6973,94678,7157.0,6321.0,34.0,0.0,780.0,2.47,1.777,0.0,0.0
6974,94679,6893.0,5987.0,31.0,0.0,670.0,2.68,1.888,0.0,0.0
6975,94680,6697.0,5634.0,30.0,0.0,504.0,2.83,2.064,0.0,0.0
6976,94681,6539.0,5533.0,29.0,0.0,423.0,2.89,2.191,0.0,0.0
6977,94682,6560.0,5404.0,28.0,0.0,449.0,2.88,2.206,0.0,0.0
6978,94683,7022.0,5540.0,29.0,0.0,575.0,2.91,2.253,0.0,0.0
6979,94684,8099.0,6163.0,32.0,0.0,550.0,2.87,2.24,0.0,0.0
6980,94685,9418.0,7464.0,41.0,0.0,473.0,2.76,2.168,0.0,0.0
6981,94686,9749.0,8316.0,55.0,11.0,427.0,2.62,2.105,0.0668,1.1124
6982,94687,9786.0,8598.0,62.0,41.0,446.0,2.67,2.988,6.8564,44.3154
6983,94688,9672.0,8653.0,61.0,102.0,448.0,2.85,4.664,35.0589,112.6707
6984,94689,9741.0,8707.0,56.0,165.0,481.0,2.97,6.267,83.3429,162.8419
6985,94690,9535.0,8734.0,53.0,216.0,537.0,3.07,7.58,181.1463,177.4542
6986,94691,9410.0,8522.0,48.0,262.0,497.0,3.11,8.54,260.1682,168.3576
6987,94692,9232.0,8511.0,45.0,282.0,397.0,3.11,9.212,287.9422,156.1234
6988,94693,9200.0,8424.0,44.0,258.0,367.0,3.08,9.574,275.0371,138.8323
6989,94694,9146.0,8334.0,44.0,194.0,329.0,2.99,9.548,202.8034,124.7789
6990,94695,9122.0,8310.0,43.0,120.0,343.0,2.73,9.013,99.4941,103.8319
6991,94696,9575.0,8279.0,48.0,55.0,352.0,1.74,7.416,19.2932,52.0832
6992,94697,9661.0,8577.0,53.0,18.0,322.0,1.85,5.192,0.4614,2.4039
6993,94698,9160.0,8260.0,56.0,1.0,278.0,1.86,4.534,0.0,0.0
6994,94699,8455.0,7793.0,42.0,0.0,260.0,1.85,4.001,0.0,0.0
6995,94700,8105.0,7203.0,35.0,0.0,291.0,1.84,3.423,0.0,0.0
6996,94701,7635.0,6936.0,33.0,0.0,305.0,1.88,2.908,0.0,0.0
6997,94702,7082.0,6447.0,29.0,0.0,282.0,1.95,2.481,0.0,0.0
6998,94703,6725.0,6016.0,27.0,0.0,244.0,2.05,2.138,0.0,0.0
6999,94704,6490.0,5720.0,26.0,0.0,238.0,2.13,1.879,0.0,0.0
7000,94705,6367.0,5610.0,25.0,0.0,226.0,2.16,1.573,0.0,0.0
7001,94706,6353.0,5501.0,24.0,0.0,190.0,2.19,1.247,0.0,0.0
7002,94707,6637.0,5642.0,25.0,0.0,172.0,2.23,0.998,0.0,0.0
7003,94708,7683.0,6361.0,27.0,0.0,184.0,2.22,0.855,0.0,0.0
7004,94709,9059.0,7604.0,32.0,0.0,181.0,2.21,0.708,0.0,0.0
7005,94710,9890.0,8418.0,43.0,12.0,170.0,2.24,0.582,0.1544,1.1914
7006,94711,9979.0,8641.0,48.0,45.0,155.0,2.19,1.994,16.7761,46.3564
7007,94712,9961.0,8583.0,47.0,112.0,130.0,2.48,4.471,80.6392,101.0605
7008,94713,9993.0,8575.0,46.0,193.0,100.0,2.69,6.761,187.3346,121.7637
7009,94714,9923.0,8542.0,44.0,254.0,68.0,3.06,8.373,297.7859,120.7926
7010,94715,9614.0,8335.0,41.0,282.0,74.0,3.11,9.161,310.6962,137.9962
7011,94716,9524.0,8276.0,40.0,279.0,167.0,3.11,9.62,291.3459,146.6661
7012,94717,9357.0,8181.0,39.0,248.0,312.0,3.16,9.868,281.3508,129.4047
7013,94718,9241.0,8131.0,37.0,191.0,349.0,3.22,9.763,218.0266,112.5405
7014,94719,9227.0,8172.0,36.0,121.0,325.0,3.06,9.154,105.9382,96.0389
7015,94720,9661.0,8291.0,39.0,56.0,278.0,2.0,7.256,23.0489,49.6337
7016,94721,10043.0,8530.0,40.0,19.0,272.0,2.26,4.583,0.2062,1.6624
7017,94722,9436.0,8309.0,42.0,1.0,276.0,2.38,3.879,0.0,0.0
7018,94723,8784.0,7785.0,35.0,0.0,383.0,2.42,3.556,0.0,0.0
7019,94724,8032.0,7245.0,29.0,0.0,490.0,2.43,3.483,0.0,0.0
7020,94725,7745.0,6982.0,27.0,0.0,514.0,2.54,3.488,0.0,0.0
7021,94726,7105.0,6366.0,23.0,0.0,598.0,2.74,3.51,0.0,0.0
7022,94727,6798.0,6021.0,25.0,0.0,731.0,2.93,3.592,0.0,0.0
7023,94728,6442.0,5739.0,24.0,0.0,797.0,3.11,3.78,0.0,0.0
7024,94729,6232.0,5613.0,23.0,0.0,847.0,3.37,4.177,0.0,0.0
7025,94730,6131.0,5477.0,22.0,0.0,799.0,3.55,4.537,0.0,0.0
7026,94731,6412.0,5622.0,24.0,0.0,806.0,3.65,4.823,0.0,0.0
7027,94732,7411.0,6295.0,27.0,0.0,759.0,3.6,5.03,0.0,0.0
7028,94733,8853.0,7510.0,35.0,0.0,816.0,3.46,5.193,0.0,0.0
7029,94734,9659.0,8260.0,44.0,11.0,919.0,3.27,5.29,0.0071,0.3393
7030,94735,9871.0,8465.0,46.0,38.0,839.0,3.22,5.757,0.6837,21.1
7031,94736,9812.0,8455.0,45.0,102.0,785.0,3.26,6.824,3.7727,69.9248
7032,94737,9842.0,8520.0,42.0,174.0,646.0,3.33,8.078,14.7309,136.8993
7033,94738,9778.0,8534.0,39.0,241.0,672.0,3.56,9.467,58.5106,205.6676
7034,94739,9305.0,8321.0,36.0,294.0,843.0,3.71,10.649,128.4423,221.687
7035,94740,9049.0,8091.0,34.0,310.0,805.0,3.79,11.418,179.0868,205.5803
7036,94741,8827.0,7941.0,33.0,282.0,798.0,3.78,11.793,193.7579,176.1711
7037,94742,8763.0,7791.0,35.0,219.0,793.0,3.63,11.784,168.5802,140.3954
7038,94743,8747.0,7561.0,40.0,135.0,614.0,3.15,11.285,97.696,103.589
7039,94744,9140.0,7701.0,49.0,58.0,402.0,2.08,9.361,22.5366,49.8927
7040,94745,9567.0,8061.0,55.0,18.0,440.0,2.17,6.854,0.3288,1.7001
7041,94746,9011.0,7862.0,55.0,1.0,502.0,2.27,5.844,0.0,0.0
7042,94747,8298.0,7287.0,46.0,0.0,496.0,2.32,5.022,0.0,0.0
7043,94748,7634.0,6852.0,41.0,0.0,315.0,2.35,4.268,0.0,0.0
7044,94749,7431.0,6712.0,39.0,0.0,132.0,2.35,3.641,0.0,0.0
7045,94750,6905.0,6271.0,34.0,0.0,121.0,2.32,3.166,0.0,0.0
7046,94751,6523.0,5865.0,31.0,0.0,129.0,2.31,2.79,0.0,0.0
7047,94752,6181.0,5546.0,29.0,0.0,108.0,2.32,2.543,0.0,0.0
7048,94753,6095.0,5411.0,28.0,0.0,95.0,2.3,2.416,0.0,0.0
7049,94754,5956.0,5206.0,28.0,0.0,122.0,2.23,2.411,0.0,0.0
7050,94755,6013.0,5226.0,28.0,0.0,114.0,2.16,2.434,0.0,0.0
7051,94756,6420.0,5457.0,29.0,0.0,72.0,1.95,2.395,0.0,0.0
7052,94757,6949.0,5782.0,30.0,0.0,43.0,1.81,2.334,0.0,0.0
7053,94758,7564.0,6269.0,35.0,12.0,33.0,1.67,2.201,0.0788,0.628
7054,94759,7955.0,6573.0,39.0,44.0,27.0,1.56,2.983,23.3693,40.0777
7055,94760,7986.0,6812.0,39.0,118.0,26.0,1.5,5.42,134.3258,70.5859
7056,94761,8047.0,6908.0,36.0,212.0,23.0,1.79,8.138,295.4237,64.4623
7057,94762,7941.0,6988.0,34.0,297.0,25.0,2.27,10.513,418.4858,58.7117
7058,94763,7510.0,6775.0,30.0,348.0,76.0,2.53,12.344,468.6976,60.9867
7059,94764,7239.0,6545.0,28.0,351.0,117.0,2.67,13.619,464.8506,62.9662
7060,94765,7106.0,6352.0,28.0,310.0,171.0,2.74,14.244,410.1048,63.1359
7061,94766,7076.0,6248.0,29.0,232.0,251.0,2.73,14.237,309.1953,61.5948
7062,94767,7232.0,6320.0,32.0,140.0,318.0,2.4,13.501,173.3069,57.7126
7063,94768,7812.0,6522.0,37.0,61.0,475.0,1.89,10.862,40.3322,38.2077
7064,94769,8237.0,6866.0,44.0,19.0,615.0,2.26,8.302,0.2751,1.2112
7065,94770,7762.0,6718.0,46.0,1.0,633.0,2.57,7.13,0.0,0.0
7066,94771,7304.0,6419.0,38.0,0.0,716.0,2.72,6.16,0.0,0.0
7067,94772,6900.0,6063.0,34.0,0.0,876.0,2.74,5.458,0.0,0.0
7068,94773,6849.0,5992.0,31.0,0.0,867.0,2.69,5.041,0.0,0.0
7069,94774,6301.0,5594.0,26.0,0.0,850.0,2.61,4.994,0.0,0.0
7070,94775,5951.0,5177.0,23.0,0.0,669.0,2.55,5.108,0.0,0.0
7071,94776,5611.0,4731.0,21.0,0.0,536.0,2.42,5.236,0.0,0.0
7072,94777,5488.0,4648.0,20.0,0.0,399.0,2.27,5.373,0.0,0.0
7073,94778,5421.0,4592.0,20.0,0.0,283.0,2.27,5.429,0.0,0.0
7074,94779,5354.0,4507.0,19.0,0.0,180.0,2.34,5.33,0.0,0.0
7075,94780,5397.0,4536.0,20.0,0.0,105.0,2.33,5.118,0.0,0.0
7076,94781,5697.0,4651.0,19.0,0.0,82.0,2.29,4.99,0.0,0.0
7077,94782,6022.0,4880.0,20.0,1.0,87.0,2.29,4.999,0.0232,0.4159
7078,94783,6525.0,5202.0,21.0,33.0,90.0,2.25,5.844,3.8932,35.4278
7079,94784,6862.0,5556.0,22.0,91.0,83.0,2.09,7.879,23.7706,105.786
7080,94785,7029.0,5819.0,24.0,161.0,63.0,2.13,9.943,61.7958,163.6426
7081,94786,7159.0,6055.0,25.0,221.0,55.0,2.44,11.666,111.0689,197.3848
